Depth(m),Voltage(V),Current(mA),# Counts
12.6,0.87436,5.829069,17364
12.625,0.848579,5.65719,16852
12.65,0.83891,5.592737,16660
12.675,0.667251,4.448341,13251
12.7,0.876777,5.845181,17412
12.725,0.7664,5.109331,15220
12.75,0.892891,5.952605,17732
12.775,1.01057,6.737132,20069
12.8,1.000096,6.667307,19861
12.825,0.819524,5.463493,16275
12.85,0.897725,5.984832,17828
12.875,0.670474,4.469825,13315
12.9,0.630996,4.206638,12531
12.925,0.783268,5.22179,15555
12.95,0.625356,4.169039,12419
12.975,0.841327,5.60885,16708
13,0.625356,4.169039,12419
13.025,0.696255,4.641703,13827
13.05,0.705118,4.700786,14003
13.075,0.673696,4.49131,13379
13.1,0.746207,4.974716,14819
13.125,0.622939,4.152925,12371
13.15,0.65436,4.362402,12995
13.175,0.87436,5.829069,17364
13.2,0.867109,5.780728,17220
13.225,0.882417,5.882781,17524
13.25,0.863081,5.753872,17140
13.275,0.84455,5.630334,16772
13.3,0.917061,6.11374,18212
13.325,0.907443,6.049623,18021
13.35,0.656777,4.378515,13043
13.375,0.869526,5.796841,17268
13.4,0.556823,3.712154,11058
13.425,0.780046,5.200305,15491
13.45,0.797771,5.318471,15843
13.475,0.655166,4.367773,13011
13.5,0.983983,6.559884,19541
13.525,0.882467,5.883116,17525
13.55,0.627773,4.185153,12467
13.575,0.63583,4.238865,12627
13.6,0.645498,4.303319,12819
13.625,0.52379,3.491935,10402
13.65,0.771234,5.141558,15316
13.675,0.991234,6.608225,19685
13.7,0.767961,5.119738,15251
13.725,0.76076,5.071733,15108
13.75,0.843745,5.624964,16756
13.775,0.593935,3.959563,11795
13.8,0.742985,4.953231,14755
13.825,0.834882,5.565881,16580
13.85,0.701895,4.679301,13939
13.875,0.873555,5.823697,17348
13.9,0.942087,6.280583,18709
13.925,0.896113,5.97409,17796
13.95,0.862325,5.748837,17125
13.975,0.780096,5.200641,15492
14,0.880856,5.872373,17493
14.025,0.708341,4.72227,14067
14.05,0.801849,5.345663,15924
14.075,0.752653,5.017685,14947
14.1,0.666445,4.44297,13235
14.125,0.597913,3.986084,11874
14.15,0.765544,5.103624,15203
14.175,0.789714,5.264759,15683
14.2,0.728482,4.856549,14467
14.225,0.747013,4.980087,14835
14.25,0.776873,5.179156,15428
14.275,0.833321,5.555474,16549
14.3,0.904976,6.033173,17972
14.325,0.759098,5.060654,15075
14.35,0.782463,5.216418,15539
14.375,0.783319,5.222126,15556
14.4,0.744596,4.963974,14787
14.425,0.726065,4.840436,14419
14.45,0.799432,5.329549,15876
14.475,0.891279,5.941863,17700
14.5,0.686587,4.577249,13635
14.525,0.718814,4.792096,14275
14.55,0.615637,4.104249,12226
14.575,0.863886,5.759243,17156
14.6,0.928391,6.189273,18437
14.625,0.739812,4.932082,14692
14.65,0.578576,3.857176,11490
14.675,0.655972,4.373144,13027
14.7,0.691421,4.609476,13731
14.725,1.056493,7.043289,20981
14.75,0.679336,4.528908,13491
14.775,0.609192,4.06128,12098
14.8,0.8091,5.394003,16068
14.825,0.918672,6.124483,18244
14.85,0.853413,5.689417,16948
14.875,0.653555,4.35703,12979
14.9,0.741373,4.942489,14723
14.925,0.635024,4.233494,12611
14.95,0.668057,4.453712,13267
14.975,0.61322,4.088136,12178
15,0.651138,4.340917,12931
15.025,0.644692,4.297947,12803
15.05,0.518151,3.454338,10290
15.075,0.480284,3.201892,9538
15.1,0.886445,5.909636,17604
15.125,0.645498,4.303319,12819
15.15,0.709197,4.727978,14084
15.175,0.679387,4.529243,13492
15.2,0.781707,5.211383,15524
15.225,0.644692,4.297947,12803
15.25,0.859052,5.727016,17060
15.275,0.824408,5.496055,16372
15.3,0.798627,5.324178,15860
15.325,0.86872,5.79147,17252
15.35,0.930808,6.205386,18485
15.375,0.623795,4.158633,12388
15.4,0.737345,4.915633,14643
15.425,0.676919,4.512794,13443
15.45,0.736539,4.910262,14627
15.475,0.678531,4.523537,13475
15.5,0.578576,3.857176,11490
15.525,0.74943,4.996201,14883
15.55,0.643081,4.287205,12771
15.575,0.744596,4.963974,14787
15.6,0.793742,5.291615,15763
15.625,0.494786,3.298573,9826
15.65,0.709952,4.733013,14099
15.675,0.877583,5.850553,17428
15.7,0.925118,6.167452,18372
15.725,0.925168,6.167788,18373
15.75,0.622939,4.152925,12371
15.775,0.936397,6.24265,18596
15.8,0.800993,5.339956,15907
15.825,0.950094,6.333959,18868
15.85,0.801044,5.340292,15908
15.875,0.819574,5.463829,16276
15.9,0.890474,5.936491,17684
15.925,0.789714,5.264759,15683
15.95,1.019432,6.796216,20245
15.975,0.821135,5.474235,16307
16,0.84455,5.630334,16772
16.025,0.826825,5.512169,16420
16.05,0.781657,5.211047,15523
16.075,0.826876,5.512505,16421
16.1,1.124976,7.49984,22341
16.125,0.62455,4.163668,12403
16.15,0.904976,6.033173,17972
16.175,0.768011,5.120073,15252
16.2,0.530236,3.534905,10530
16.225,0.526207,3.508049,10450
16.25,0.863937,5.759578,17157
16.275,0.841327,5.60885,16708
16.3,0.712369,4.749126,14147
16.325,0.519762,3.465079,10322
16.35,0.686587,4.577249,13635
16.375,0.788908,5.259388,15667
16.4,0.753458,5.023056,14963
16.425,0.74943,4.996201,14883
16.45,0.871138,5.807584,17300
16.475,0.757487,5.049912,15043
16.5,0.896164,5.974425,17797
16.525,0.782463,5.216418,15539
16.55,0.784124,5.227497,15572
16.575,0.704312,4.695414,13987
16.6,0.736539,4.910262,14627
